EggID temp time tempTrt
20-5 33.9 10 37
7-2 36.2 10 37
16-3 35.4 10 37
17-4 34.2 10 37
14 32.5 10 37
7-3 34.8 10 36
10-3 31.4 20 36
17-2 32.6 20 36
7 34.7 20 36
16-4 33.1 20 36
20-4 33.2 20 36
10-2 33.5 20 37
17 36.6 20 37
20-5 34 20 37
7-2 35.2 20 37
10-4 33.6 20 37
16-3 34.9 20 37
1 33.3 20 37
17-4 34.2 20 37
14 32.4 20 37
8-5 33.4 20 37
7-3 34.2 20 36
8-4 34.5 20 36
17-3 31.9 20 36
20-6 31.9 20 36
10-5 34.4 20 36
22 31.3 20 36
10-3 31.4 30 36
17-2 32.1 30 36
7 34.3 30 36
16-4 32.6 30 36
10-2 33.5 30 37
17 36 30 37
20-5 33 30 37
7-2 34.6 30 37
10-4 33.4 30 37
16-3 34.4 30 37
17-4 33.8 30 37
8-5 32.9 30 37
7-3 33.7 30 36
8-4 33.8 30 36
17-3 31.7 30 36
20-6 32 30 36
10-5 34.1 30 36
22 30.8 30 36
10-3 31.5 40 36
17-2 32.2 40 36
7 34 40 36
16-4 32.3 40 36
20-4 32.7 40 36
10-2 33.1 40 37
17 35.7 40 37
20-5 32.4 40 37
7-2 34.1 40 37
10-4 33.5 40 37
16-3 34.2 40 37
1 33.1 40 37
17-4 33.4 40 37
14 32 40 37
8-5 32.6 40 37
7-3 33.4 40 36
8-4 33.1 40 36
17-3 31.4 40 36
20-6 31.5 40 36
10-5 33.5 40 36
22 30.5 40 36
10-3 31.8 50 36
17-2 31.8 50 36
7 33.6 50 36
16-4 32.2 50 36
20-4 32.3 50 36
10-2 32.7 50 37
17 35.3 50 37
20-5 32.2 50 37
7-2 33.7 50 37
10-4 33 50 37
16-3 33.7 50 37
1 32.5 50 37
17-4 33.1 50 37
14 31.6 50 37
8-5 32.1 50 37
7-3 33 50 36
8-4 32.5 50 36
17-3 31.3 50 36
20-6 30.9 50 36
10-5 33.1 50 36
22 30.3 50 36
10-3 32 60 36
17-2 32.4 60 36
7 31.9 60 36
16-4 32 60 36
20-4 32 60 36
10-2 32.4 60 37
17 35.1 60 37
20-5 32.1 60 37
7-2 33.5 60 37
10-4 32.1 60 37
16-3 33.4 60 37
1 32.2 60 37
17-4 32.4 60 37
14 31.3 60 37
7-3 32.5 60 36
8-4 32.3 60 36
17-3 31.1 60 36
20-6 30.8 60 36
10-5 32.8 60 36
22 30.1 60 36
10-3 32.8 70 36
17-2 32 70 36
7 31.5 70 36
16-4 31.2 70 36
20-4 31.5 70 36
10-2 32.2 70 37
17 34.7 70 37
20-5 32 70 37
7-2 33.1 70 37
10-4 32.1 70 37
16-3 32.8 70 37
1 32.1 70 37
17-4 31.9 70 37
14 31.1 70 37
8-5 32.2 70 37
7-3 32.2 70 36
8-4 31.9 70 36
17-3 30.8 70 36
20-6 30.3 70 36
10-5 32.5 70 36
22 29.6 70 36
10-3 32.7 80 36
17-2 31.9 80 36
7 31.3 80 36
16-4 30.6 80 36
20-4 30.9 80 36
10-2 31.6 80 37
17 34.3 80 37
20-5 31.8 80 37
7-2 32.8 80 37
10-4 32.4 80 37
16-3 32.5 80 37
1 31.6 80 37
17-4 31.5 80 37
14 30.9 80 37
8-5 31.8 80 37
7-3 32 80 36
8-4 31.6 80 36
17-3 30.7 80 36
20-6 30 80 36
10-5 32.2 80 36
22 29.3 80 36
10-3 32.6 90 36
17-2 31.3 90 36
7 31.2 90 36
16-4 30.2 90 36
20-4 30.7 90 36
10-2 31.2 90 37
17 34 90 37
20-5 31.6 90 37
7-2 32.5 90 37
10-4 32 90 37
16-3 32.2 90 37
1 31.2 90 37
17-4 31.4 90 37
14 30.9 90 37
8-5 31.6 90 37
7-3 31.8 90 36
8-4 31.6 90 36
17-3 30.4 90 36
20-6 29.7 90 36
10-5 32.1 90 36
22 29.2 90 36
