EggID NestID Trt LayMass Mass2 Order1fac Order2fac HR1 HR2 scHR1 scHR2 T1 T2
30_8 30 per 1.1342 0.8489 1 1 NA 394 NA 3.25010183649714 NA 0.333333333333333
30_8 30 per 1.1342 0.8489 1 1 NA 384 NA 2.91590718360148 NA 0.416666666666667
30_8 30 per 1.1342 0.8489 1 1 NA 368 NA 2.38119573896841 NA 0.5
30_8 30 per 1.1342 0.8489 1 1 NA 357 NA 2.01358162078317 NA 0.583333333333333
30_8 30 per 1.1342 0.8489 1 1 NA NA NA NA NA NA
30_8 30 per 1.1342 0.8489 1 1 243 NA 2.36150265243349 NA 0.75 NA
30_8 30 per 1.1342 0.8489 1 1 211 333 0.885718976280412 1.21151445383357 0.883333333333333 0.833333333333333
30_8 30 per 1.1342 0.8489 1 1 NA 322 NA 0.843900335648338 NA 0.916666666666667
30_8 30 per 1.1342 0.8489 1 1 NA 319 NA 0.743641939779638 NA 1
30_8 30 per 1.1342 0.8489 1 1 NA NA NA NA NA NA
26_2 26 per 1.0402 0.9637 1 1 NA NA NA NA NA NA
26_2 26 per 1.0402 0.9637 1 1 185 NA -0.313355260593966 NA 0.416666666666667 NA
26_2 26 per 1.0402 0.9637 1 1 181 NA -0.497828220113102 NA 0.5 NA
26_2 26 per 1.0402 0.9637 1 1 173 300 -0.866774139151372 0.10867209927787 0.583333333333333 0.583333333333333
26_2 26 per 1.0402 0.9637 1 1 168 297 -1.09736533855029 0.00841370340916928 0.666666666666667 0.666666666666667
26_2 26 per 1.0402 0.9637 1 1 162 292 -1.37407477782899 -0.158683623038664 0.75 0.75
26_2 26 per 1.0402 0.9637 1 1 157 288 -1.60466597722791 -0.292361484196931 0.833333333333333 0.833333333333333
26_2 26 per 1.0402 0.9637 1 1 156 281 -1.6507842171077 -0.526297741223899 0.916666666666667 0.916666666666667
26_2 26 per 1.0402 0.9637 1 1 149 277 -1.97361189626618 -0.659975602382166 1 1
26_2 26 per 1.0402 0.9637 1 1 145 271 -2.15808485578532 -0.860492394119566 1.08333333333333 1.08333333333333
1_7 1 per 1.1069 0.968 1 1 223 NA 1.43913785483782 NA 0.333333333333333 NA
1_7 1 per 1.1069 0.968 1 1 220 NA 1.30078313519847 NA 0.416666666666667 NA
1_7 1 per 1.1069 0.968 1 1 218 NA 1.2085466554389 NA 0.5 NA
1_7 1 per 1.1069 0.968 1 1 214 NA 1.02407369591976 NA 0.583333333333333 NA
1_7 1 per 1.1069 0.968 1 1 217 322 1.16242841555912 0.843900335648338 0.666666666666667 0.666666666666667
1_7 1 per 1.1069 0.968 1 1 209 NA 0.793482496520845 NA 0.75 NA
1_7 1 per 1.1069 0.968 1 1 NA 301 NA 0.142091564567436 NA 0.833333333333333
1_7 1 per 1.1069 0.968 1 1 202 NA 0.470654817362358 NA 0.916666666666667 NA
1_7 1 per 1.1069 0.968 1 1 199 NA 0.332300097723007 NA 1 NA
1_7 1 per 1.1069 0.968 1 1 NA NA NA NA NA NA
13_12 13 per 1.1455 1.0728 3 3 NA NA NA NA NA NA
13_12 13 per 1.1455 1.0728 3 3 NA NA NA NA NA NA
13_12 13 per 1.1455 1.0728 3 3 NA NA NA NA NA NA
13_12 13 per 1.1455 1.0728 3 3 225 NA 1.53137433459739 NA 0.583333333333333 NA
13_12 13 per 1.1455 1.0728 3 3 NA NA NA NA NA NA
13_12 13 per 1.1455 1.0728 3 3 NA NA NA NA NA NA
